FECHA CARGA;HORA CARGA;FECHA TOMA;HORA TOMA;HABITACIÓN;UBICACIÓN;POSTURA;DUERME;ESCONDIDO;AUTOR;NOSOTROS
08/05/2023;0:56;16/03/2017;19:01:16;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;16/03/2017;19:02:55;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;16/03/2017;19:03:13;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;16/03/2017;19:03:31;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;16/03/2017;19:55:29;SALA;SILLON;ACOSTADO;NO;SI;FLOR;NO 
08/05/2023;0:56;16/03/2017;19:56:00;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;16/03/2017;19:56:06;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;24/03/2017;10:09:17;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;24/03/2017;10:09:22;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;25/03/2017;1:13:15;SALA;CAJA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;25/03/2017;1:13:26;SALA;CAJA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;30/03/2017;23:41:46;SALA;SUELO;TREPA;NO;NO;FLOR;NO 
08/05/2023;0:56;30/03/2017;23:51:59;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;15/04/2017;20:51:17;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;15/04/2017;20:51:26;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;15/04/2017;20:51:29;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;15/04/2017;20:51:35;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;15/04/2017;20:51:44;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;21/05/2017;22:01:10;SALA;SILLON;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;21/05/2017;22:01:48;SALA;SILLON;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;30/06/2017;19:57:21;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;30/06/2017;19:57:44;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;30/06/2017;19:57:46;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;03/07/2017;21:03:24;SALA;SILLON;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;11/07/2017;8:32:47;BAÑO;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:56;11/07/2017;8:32:59;BAÑO;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:56;21/07/2017;19:56:13;SALA;SILLON;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;23/07/2017;0:57:50;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;23/07/2017;0:57:59;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;23/07/2017;0:58:08;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:56;25/07/2017;23:37:25;SALA;CAJA;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;25/07/2017;23:37:34;SALA;CAJA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;28/07/2017;8:28:35;BAÑO;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;28/07/2017;8:28:48;BAÑO;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;03/08/2017;23:52:33;BAÑO;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;03/08/2017;23:53:55;BAÑO;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;05/08/2017;19:03:53;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;05/08/2017;19:03:57;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;10/09/2017;11:20:48;SALA;PEDESTAL;PARADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;10/09/2017;11:21:13;SALA;PEDESTAL;PARADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;10/09/2017;22:29:56;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:56;16/09/2017;19:52:20;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;16/09/2017;19:52:38;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;27/09/2017;9:02:18;SALA;CAJA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;27/09/2017;9:02:26;SALA;CAJA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;06/10/2017;17:38:12;SALA;CAJA;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:56;06/10/2017;17:38:29;SALA;CAJA;ACOSTADO;NO;SI;FLOR;NO 
08/05/2023;0:56;07/10/2017;0:02:57;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;07/10/2017;0:03:04;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;07/10/2017;0:03:14;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:56;07/10/2017;0:03:22;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:56;14/10/2017;13:18:04;SALA;SILLON;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;20/10/2017;23:25:07;SALA;CAJA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;20/10/2017;23:25:25;SALA;CAJA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;20/10/2017;23:25:31;SALA;CAJA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;06/11/2017;23:18:26;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;06/11/2017;23:18:28;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;06/11/2017;23:18:33;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;11/11/2017;9:13:57;BAÑO;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;11/11/2017;9:14:05;BAÑO;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;11/11/2017;9:14:08;BAÑO;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;07/12/2017;23:20:02;SALA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;07/12/2017;23:20:04;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;15/12/2017;0:56:33;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;11:43:16;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;11:43:24;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;11:43:33;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;11:43:40;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;22:23:18;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
